accept | accepted
add | added
admire | admired
admit | admitted
advise | advised
afford | afforded
agree | agreed
alert | alerted
allow | allowed
amuse | amused
analyze | analyzed
announce | announced
annoy | annoyed
answer | answered
apologize | apologized
appear | appeared
applaud | applauded
appreciate | appreciated
approve | approved
argue | argued
arrange | arranged
arrest | arrested
arrive | arrived
ask | asked
attach | attached
attack | attacked
attempt | attempted
attend | attended
attract | attracted
avoid | avoided
back | backed
bake | baked
balance | balanced
ban | banned
bang | banged
bare | bare
bat | bated
bathe | bathed
battle | battled
beam | beamed
beg | begged
behave | behaved
belong | belonged
bleach | bleached
bless | blessed
blind | blind
blink | blinked
blot | blotted
blush | blushed
boast | boasted
boil | boiled
bolt | bolted
bomb | bombed
book | booked
bore | bore
borrow | borrowed
bounce | bounced
bow | bowed
box | box
brake | brake
branch | branched
breathe | breathed
bruise | bruised
brush | brushed
bubble | bubbled
bump | bumped
burn | burned
bury | buried
buzz | buzzed
calculate | calculated
call | called
camp | camped
care | cared
carry | carried
carve | carved
cause | caused
challenge | challenged
change | changed
charge | charged
chase | chased
cheat | cheated
check | checked
cheer | cheered
chew | chewed
choke | choked
chop | chopped
claim | claimed
clap | clapped
clean | cleaned
clear | cleared
clip | clipped
close | closed
coach | coach
coil | coiled
collect | collected
color | colored
comb | combed
command | commanded
communicate | communicated
compare | compared
compete | competed
complain | complained
complete | completed
concentrate | concentrated
concern | concerned
confess | confessed
confuse | confused
connect | connected
consider | considered
consist | consisted
contain | contained
continue | continued
copy | copied
correct | corrected
cough | coughed
count | counted
cover | covered
crack | cracked
crash | crashed
crawl | crawled
cross | crossed
crush | crushed
cry | cried
cure | cured
curl | curled
curve | curved
cycle | cycle
dam | damed
damage | damaged
dance | danced
dare | dared
decay | decayed
deceive | deceived
decide | decided
decorate | decorated
delay | delayed
delight | delighted
deliver | delivered
depend | depended
describe | described
desert | deserted
deserve | deserved
destroy | destroyed
detect | detected
develop | developed
disagree | disagreed
disappear | disappeared
disapprove | disapproved
disarm | disarmed
discover | discovered
dislike | disliked
divide | divided
double | doubled
doubt | doubted
drag | dragged
drain | drained
dream | dreamed
dress | dressed
drip | dripped
drop | dropped
drown | drowned
drum | drummed
dry | dried
dust | dust
earn | earned
educate | educated
embarrass | embarrassed
employ | employed
empty | emptied
encourage | encouraged
end | ended
enjoy | enjoyed
enter | entered
entertain | entertained
escape | escaped
examine | examined
excite | excited
excuse | excused
exercise | exercised
exist | existed
expand | expanded
expect | expected
explain | explained
explode | exploded
extend | extended
face | faced
fade | faded
fail | failed
fancy | fancied
fasten | fastened
fax | faxed
fear | feared
fence | fenced
fetch | fetched
file | filed
fill | filled
film | film
find | found
fire | fired
fit | fit
fix | fixed
flap | flapped
flash | flashed
float | floated
flood | flooded
flow | flowed
flower | flowered
fold | folded
follow | followed
fool | fooled
force | forced
form | formed
frame | framed
frighten | frightened
fry | fried
gather | gathered
gaze | gazed
glow | glowed
glue | glued
grab | grabbed
grate | grated
grease | greased
greet | greeted
grin | grinned
grip | grip
groan | groaned
guarantee | guaranteed
guard | guarded
guess | guessed
guide | guided
hammer | hammered
hand | handed
handle | handled
hang | hung
happen | happened
harass | harassed
harm | harmed
hate | hated
haunt | haunted
head | headed
heal | healed
heap | heaped
heat | heated
help | helped
hook | hooked
hop | hoped
hope | hoped
hover | hovered
hug | hugged
hum | hummed
hunt | hunted
hurry | hurried
identify | identified
ignore | ignored
imagine | imagined
impress | impressed
improve | improved
include | included
increase | increased
influence | influenced
inform | informed
inject | injected
injure | injured
instruct | instructed
intend | intended
interest | interested
interfere | interfered
interrupt | interrupted
introduce | introduced
invent | invented
invite | invited
irritate | irritated
itch | itched
jail | jail
jam | jammed
jog | jogged
join | joined
joke | joked
judge | judged
juggle | juggled
jump | jumped
kick | kicked
kill | killed
kiss | kissed
kneel | kneeled
knit | knit
knock | knocked
knot | knotted
label | labeled
land | landed
last | lasted
laugh | laughed
launch | launched
learn | learned
level | leveled
license | licensed
lick | licked
lie | lied
lighten | lightened
like | liked
list | listed
listen | listened
live | lived
load | loaded
lock | locked
long | long
look | looked
love | loved
man | maned
manage | managed
march | marched
mark | marked
marry | married
match | matched
mate | mated
measure | measured
meddle | meddled
melt | melted
memorize | memorized
mend | mended
mess up | messed up
milk | milked
mine | mined
miss | missed
mix | mixed
moan | moaned
moor | moored
mourn | mourned
move | moved
muddle | muddled
mug | mugged
multiply | multiplied
murder | murder
nail | nailed
name | named
need | needed
nest | nested
nod | nodded
note | noted
notice | noticed
number | number
obey | obeyed
object | objected
observe | observed
obtain | obtained
occur | occurred
offend | offended
offer | offered
open | opened
order | ordered
overflow | overflowed
owe | owed
own | owned
pack | packed
paddle | paddled
paint | painted
park | parked
part | parted
pass | passed
paste | pasted
pat | patted
pause | paused
peck | pecked
pedal | pedaled
peel | peeled
