awake | awoke
be | be
beat | beat
become | became
begin | began
bend | bended
bet | bet
bid | bid
bite | bit
blow | blew
break | broke
bring | brought
broadcast | broadcasted
build | built
burn | burned
buy | bought
catch | caught
choose | chose
come | came
cost | costed
cut | cut
dig | dug
do | did
draw | drew
dream | dreamed
drive | drove
drink | drank
eat | ate
fall | fell
feel | felt
fight | fought
find | found
fly | flew
forget | forgot
forgive | forgave
freeze | froze
get | got
give | gave
go | went
grow | grew
hang | hung
have | had
hear | heard
hide | hid
hit | hit
hold | held
hurt | hurt
keep | kept
know | knew
lay | lay
lead | led
learn | learned
leave | left
lend | lent
let | let
lie | lied
lose | lost
make | made
mean | meant
meet | met
pay | paid
put | put
read | read
ride | rode
ring | rung
rise | rose
run | ran
say | said
see | saw
sell | sold
send | sent
show | showed
shut | shut
sing | sang
sit | sat
sleep | slept
speak | spoke
spend | spent
stand | stood
swim | swam
take | took
teach | taught
tear | tore
tell | told
think | thought
throw | threw
understand | understood
wake | woke
wear | wore
win | won
write | wrote
